No.,Constituency,Name,Party,Alliance,Remarks,District
171,Lucknow West,Armaan Khan,Samajwadi Party,SP+,,Lucknow 
172,Lucknow North,Neeraj Bora,Bharatiya Janata Party,NDA,,Lucknow 
173,Lucknow East,Ashutosh Tandon,Bharatiya Janata Party,NDA,,Lucknow 
174,Lucknow Central,Ravidas Mehrotra,Samajwadi Party,SP+,,Lucknow 
175,Lucknow Cantt,Brajesh Pathak,Bharatiya Janata Party,NDA,"Deputy Leader of the House
(Deputy Chief Minister)",Lucknow 
176,Mohanlalganj (SC),Amresh Kumar,Bharatiya Janata Party,NDA,,Lucknow 
177,Bachhrawan (SC),Shyam Sunder Bharti,Samajwadi Party,SP+,,Raebareli 
178,Tiloi,Mayankeshwar Sharan Singh,Bharatiya Janata Party,NDA,MOS,Amethi 
179,Harchandpur,Rahul Lodhi,Samajwadi Party,SP+,,Raebareli 
180,Rae Bareli,Aditi Singh,Bharatiya Janata Party,NDA,,Raebareli 
181,Salon (SC),Ashok Kumar Kori,Bharatiya Janata Party,NDA,,Raebareli 
182,Sareni,Devendra Pratap Singh,Samajwadi Party,SP+,,Raebareli 
183,Unchahar,Manoj Kumar Pandey,Samajwadi Party,SP+,,Raebareli 
184,Jagdishpur (SC),Suresh Pasi,Bharatiya Janata Party,NDA,,Amethi 
185,Gauriganj,Rakesh Pratap Singh,Samajwadi Party,SP+,,Amethi 
186,Amethi,Maharaji Prajapati,Samajwadi Party,SP+,,Amethi 
187,Isauli,Mohammad Tahir Khan,Samajwadi Party,SP+,,Sultanpur 
188,Sultanpur,Vinod Singh,Bharatiya Janata Party,NDA,,Sultanpur 
189,Sultanpur Sadar,Raj Prasad Upadhyay,Bharatiya Janata Party,NDA,,Sultanpur 
190,Lambhua,Sitaram Verma,Bharatiya Janata Party,NDA,,Sultanpur 
191,Kadipur (SC),Rajesh Gautam,Bharatiya Janata Party,NDA,,Sultanpur 
192,Kaimganj (SC),Surabhi,Apna Dal (Sonelal),NDA,,Farrukhabad 
193,Amritpur,Sushil Kumar Shakya,Bharatiya Janata Party,NDA,,Farrukhabad 
194,Farrukhabad,Major Sunil Dutt Dwivedi,Bharatiya Janata Party,NDA,,Farrukhabad 
195,Bhojpur,Nagendra Singh Rathore,Bharatiya Janata Party,NDA,,Farrukhabad 
196,Chhibramau,Archana Pandey,Bharatiya Janata Party,NDA,,Kannauj 
197,Tirwa,Kailash Singh Rajput,Bharatiya Janata Party,NDA,,Kannauj 
198,Kannauj (SC),Asim Arun,Bharatiya Janata Party,NDA,MOS (I/C),Kannauj 
199,Jaswantnagar,Shivpal Singh Yadav,Samajwadi Party,SP+,,Etawah 
200,Etawah,Sarita Bhadauria,Bharatiya Janata Party,NDA,,Etawah 
201,Bharthana (SC),Raghvendra Kumar Singh,Samajwadi Party,SP+,,Etawah 
202,Bidhuna,Rekha Verma,Samajwadi Party,SP+,,Auraiya 
203,Dibiyapur,Pradeep Kumar Yadav,Samajwadi Party,SP+,,Auraiya 
204,Auraiya (SC),Gudiya Katheriya,Bharatiya Janata Party,NDA,,Auraiya 
205,Rasulabad (SC),Poonam Sankhwar,Bharatiya Janata Party,NDA,,Kanpur Dehat 
206,Akbarpur-Raniya,Pratibha Shukla,Bharatiya Janata Party,NDA,MOS,Kanpur Dehat 
207,Sikandra,Ajit Singh Pal,Bharatiya Janata Party,NDA,MOS (I/C),Kanpur Dehat 
208,Bhognipur,Rakesh Sachan,Bharatiya Janata Party,NDA,Cabinet Minister,Kanpur Dehat 
209,Bilhaur (SC),Rahul Sonkar,Bharatiya Janata Party,NDA,,Kanpur Nagar 
210,Bithoor,Abhijeet Singh Sanga,Bharatiya Janata Party,NDA,,Kanpur Nagar 
211,Kalyanpur,Neelima Katiyar,Bharatiya Janata Party,NDA,,Kanpur Nagar 
212,Govindnagar,Surendra Maithani,Bharatiya Janata Party,NDA,,Kanpur Nagar 
213,Sishamau,Haji Irfan Solanki,Samajwadi Party,SP+,,Kanpur Nagar 
214,Arya Nagar,Amitabh Bajpai,Samajwadi Party,SP+,,Kanpur Nagar 
215,Kidwai Nagar,Mahesh Trivedi,Bharatiya Janata Party,NDA,,Kanpur Nagar 
216,Kanpur Cantt,Mohammad Hasan,Samajwadi Party,SP+,,Kanpur Nagar 
217,Maharajpur,Satish Mahana,Bharatiya Janata Party,NDA,Speaker,Kanpur Nagar 
218,Ghatampur (SC),Saroj Kureel,Apna Dal (Sonelal),NDA,,Kanpur Nagar 
219,Madhaugarh,Moolchandra Singh,Bharatiya Janata Party,NDA,,Jalaun 
220,Kalpi,Vinod Chaturvedi,Samajwadi Party,SP+,,Jalaun 
221,Orai (SC),Gauri Shankar Verma,Bharatiya Janata Party,NDA,,Jalaun 
222,Babina,Rajeev Singh Parichha,Bharatiya Janata Party,NDA,,Jhansi 
223,Jhansi Nagar,Ravi Sharma,Bharatiya Janata Party,NDA,,Jhansi 
224,Mauranipur (SC),Rashmi Arya,Apna Dal (Sonelal),NDA,,Jhansi 
225,Garautha,Jawahar Lal Rajput,Bharatiya Janata Party,NDA,,Jhansi 
226,Lalitpur,Ramratan Kushwaha,Bharatiya Janata Party,NDA,,Lalitpur 
227,Mehroni (SC),Manohar Lal,Bharatiya Janata Party,NDA,MOS,Lalitpur 
228,Hamirpur,Manoj Kumar Prajapati,Bharatiya Janata Party,NDA,,Hamirpur 
229,Rath (SC),Manisha Anuragi,Bharatiya Janata Party,NDA,,Hamirpur 
230,Mahoba,Rakesh Kumar Goswami,Bharatiya Janata Party,NDA,,Mahoba 
231,Charkhari,Brijbhushan Rajpoot,Bharatiya Janata Party,NDA,,Mahoba 
232,Tindwari,Ramkesh Nishad,Bharatiya Janata Party,NDA,MOS,Banda 
233,Baberu,Vishambhar Singh Yadav,Samajwadi Party,SP+,,Banda 
234,Naraini (SC),Ommani Verma,Bharatiya Janata Party,NDA,,Banda 
235,Banda,Prakash Dwivedi,Bharatiya Janata Party,NDA,,Banda 
236,Chitrakoot,Anil Kumar Pradhan,Samajwadi Party,SP+,,Chitrakoot 
237,Manikpur,Avinash Chandra Dwivedi,Apna Dal (Sonelal),NDA,,Chitrakoot 
238,Jahanabad,Rajendra Singh Patel,Bharatiya Janata Party,NDA,,Fatehpur 
239,Bindki,Jai Kumar Singh Jaiki,Apna Dal (Sonelal),NDA,,Fatehpur 
240,Fatehpur,Chandra Prakash Lodhi,Samajwadi Party,SP+,,Fatehpur 
241,Ayah Shah,Vikas Gupta,Bharatiya Janata Party,NDA,,Fatehpur 
242,Husainganj,Usha Maurya,Samajwadi Party,SP+,,Fatehpur 
243,Khaga (SC),Krishna Paswan,Bharatiya Janata Party,NDA,,Fatehpur 
244,Rampur Khas,Aradhana Mishra,Indian National Congress,UPA,Leader (Congress),Pratapgarh 
245,Babaganj (SC),Vinod Saroj,Jansatta Dal (Loktantrik),Independent,,Pratapgarh 
246,Kunda,Raghuraj Pratap Singh,Jansatta Dal (Loktantrik),Independent,Leader (JDL),Pratapgarh 
247,Bishwavnathganj,Jeet Lal Patel,Apna Dal (Sonelal),NDA,,Pratapgarh 
248,Pratapgarh,Rajendra Kumar Maurya,Bharatiya Janata Party,NDA,,Pratapgarh 
249,Patti,Ram Singh Patel,Samajwadi Party,SP+,,Pratapgarh 
250,Raniganj,Rakesh Kumar Verma,Samajwadi Party,SP+,,Pratapgarh 
251,Sirathu,Pallavi Patel,Samajwadi Party,SP+,,Kaushambi 
252,Manjhanpur (SC),Indrajeet Saroj,Samajwadi Party,SP+,,Kaushambi 
253,Chail,Pooja Pal,Samajwadi Party,SP+,,Kaushambi 
254,Phaphamau,Guru Prasad Maurya,Bharatiya Janata Party,NDA,,Allahabad 
255,Soraon (SC),Geeta Pasi,Samajwadi Party,SP+,,Allahabad 
256,Phulpur,Praveen Singh Patel,Bharatiya Janata Party,NDA,,Allahabad 
257,Pratappur,Vijma Yadav,Samajwadi Party,SP+,,Allahabad 
258,Handia,Hakim Lal Bind,Samajwadi Party,SP+,,Allahabad 
259,Meja,Sandeep Singh Patel,Samajwadi Party,SP+,,Allahabad 
260,Karachhana,Piyush Ranjan Nishad,Bharatiya Janata Party,NDA,,Allahabad 
261,Allahabad West,Sidharth Nath Singh,Bharatiya Janata Party,NDA,,Allahabad 
262,Allahabad North,Harshvardhan Bajpai,Bharatiya Janata Party,NDA,,Allahabad 
263,Allahabad South,Nand Gopal Gupta Nandi,Bharatiya Janata Party,NDA,Cabinet Minister,Allahabad 
264,Bara (SC),Vachaspati,Apna Dal (Sonelal),NDA,,Allahabad 
265,Koraon,Rajmani Kol,Bharatiya Janata Party,NDA,,Allahabad 
266,Kursi,Sakendra Pratap Verma,Bharatiya Janata Party,NDA,,Barabanki 
267,Ram Nagar,Fareed Mahfooz Kidwai,Samajwadi Party,SP+,,Barabanki 
268,Barabanki,Dharamraj Singh Yadav,Samajwadi Party,SP+,,Barabanki 
269,Zaidpur (SC),Gaurav Kumar Rawat,Samajwadi Party,SP+,,Barabanki 
270,Dariyabad,Satish Chandra Sharma,Bharatiya Janata Party,NDA,MOS,Barabanki 
271,Rudauli,Ram Chandra Yadav,Bharatiya Janata Party,NDA,,Ayodhya 
272,Haidergarh (SC),Dinesh Rawat,Bharatiya Janata Party,NDA,,Barabanki 
273,Milkipur (SC),Awadhesh Prasad,Samajwadi Party,SP+,,Ayodhya 
274,Bikapur,Amit Singh Chauhan,Bharatiya Janata Party,NDA,,Ayodhya 
275,Ayodhya,Ved Prakash Gupta,Bharatiya Janata Party,NDA,,Ayodhya 
276,Goshainganj,Abhay Singh,Samajwadi Party,SP+,,Ayodhya 
277,Katehari,Lalji Verma,Samajwadi Party,SP+,,Ambedkar Nagar 
278,Tanda,Ram Murti Verma,Samajwadi Party,SP+,,Ambedkar Nagar 
279,Alapur (SC),Tribhuvan Dutt,Samajwadi Party,SP+,,Ambedkar Nagar 
280,Jalalpur,Rakesh Pandey,Samajwadi Party,SP+,,Ambedkar Nagar 
281,Akbarpur,Ram Achal Rajbhar,Samajwadi Party,SP+,,Ambedkar Nagar 
282,Balha (SC),Saroj Sonkar,Bharatiya Janata Party,NDA,,Bahraich 
283,Nanpara,Ram Niwas Verma,Apna Dal (Sonelal),NDA,,Bahraich 
284,Matera,Mariya Shah,Samajwadi Party,SP+,,Bahraich 
285,Mahasi,Sureshwar Singh,Bharatiya Janata Party,NDA,,Bahraich 
286,Bahraich,Anupama Jaiswal,Bharatiya Janata Party,NDA,,Bahraich 
287,Payagpur,Subhash Tripathi,Bharatiya Janata Party,NDA,,Bahraich 
288,Kaiserganj,Anand Kumar,Samajwadi Party,SP+,,Bahraich 
289,Bhinga,Indrani Verma,Samajwadi Party,SP+,,Shravasti 
290,Shrawasti,Ram Feran Pandey,Bharatiya Janata Party,NDA,,Shravasti 
291,Tulsipur,Kailash Nath Shukla,Bharatiya Janata Party,NDA,,Balrampur 
292,Gainsari,Shiv Pratap Yadav,Samajwadi Party,SP+,,Balrampur 
293,Utraula,Ram Pratap Verma,Bharatiya Janata Party,NDA,,Balrampur 
294,Balrampur (SC),Paltu Ram,Bharatiya Janata Party,NDA,,Balrampur 
295,Mehnaun,Vinay Kumar Dwivedi,Bharatiya Janata Party,NDA,,Gonda 
296,Gonda,Prateek Bhushan Singh,Bharatiya Janata Party,NDA,,Gonda 
297,Katra Bazar,Bawan Singh,Bharatiya Janata Party,NDA,,Gonda 
298,Colonelganj,Ajay Pratap Singh,Bharatiya Janata Party,NDA,,Gonda 
299,Tarabganj,Prem Narayan Pandey,Bharatiya Janata Party,NDA,,Gonda 
300,Mankapur (SC),Rampati Shastri,Bharatiya Janata Party,NDA,Protem Speaker,Gonda 
